"Code","Year","Population.with.access.to.improved.sanitation","Population.without.access.to.improved.sanitation","Access.to.electricity....of.population.","Entity"
"MLI",2009,3213451,11393146,24.0308958348372,"Mali"
"MLI",2010,3376819,11698266,25.398286819458,"Mali"
"MLI",2011,3558886,11982103,26.9900455474853,"Mali"
"MLI",2012,3729554,12277116,25.6,"Mali"
"MLI",2013,3921721,12556097,30.2066078186035,"Mali"
"MLI",2014,4105009,12857837,31.8254013061523,"Mali"
"MLI",2015,4314573,13153332,37.6,"Mali"
"MLI",2016,NA,NA,35.0694999694824,"Mali"
"NGA",1995,38884127,69127338,37.7699241638184,"Nigeria"
"NGA",1996,39420914,71311990,38.7998695373535,"Nigeria"
"NGA",1997,39959992,73562713,39.8145141601562,"Nigeria"
"NGA",1998,40502241,75883509,40.8108100891113,"Nigeria"
"NGA",1999,41048513,78278560,44.9,"Nigeria"
"NGA",2000,41599683,80752326,42.7376136779785,"Nigeria"
"NGA",2001,42281177,83182257,43.6711311340332,"Nigeria"
"NGA",2002,42846014,85820696,44.5923004150391,"Nigeria"
"NGA",2003,43418963,88553570,52.2,"Nigeria"
"NGA",2004,44138319,91255297,46.4218521118164,"Nigeria"
"NGA",2005,44738512,94200966,47.3423614501953,"Nigeria"
"NGA",2006,45493896,97120198,48.2747764587402,"Nigeria"
"NGA",2007,46121363,100295661,50.1309194284432,"Nigeria"
"NGA",2008,46908386,103439004,50.3,"Nigeria"
"NGA",2009,47555872,106846309,51.1919898986816,"Nigeria"
"NGA",2010,48366370,110211891,48,"Nigeria"
"NGA",2011,49188877,113688199,55.9,"Nigeria"
"NGA",2012,50021888,117275396,54.269905090332,"Nigeria"
"NGA",2013,50861474,120967829,55.6,"Nigeria"
"NGA",2014,51702927,124757575,56.3719139099121,"Nigeria"
"NGA",2015,52542706,128639038,52.5,"Nigeria"
"NGA",2016,NA,NA,59.3,"Nigeria"
"SAU",1995,17592955,1142886,NA,"Saudi Arabia"
"SAU",1996,18060210,1071368,NA,"Saudi Arabia"
"SAU",1997,18530297,975279,NA,"Saudi Arabia"
"SAU",1998,19007630,874828,NA,"Saudi Arabia"
"SAU",1999,19523219,771187,NA,"Saudi Arabia"
"SAU",2000,20099854,664458,NA,"Saudi Arabia"
"SAU",2001,20728395,575197,NA,"Saudi Arabia"
"SAU",2002,21446276,460032,NA,"Saudi Arabia"
"SAU",2003,22218079,338346,NA,"Saudi Arabia"
"SAU",2004,23019830,209060,100,"Saudi Arabia"
"SAU",2005,23833937,71717,100,"Saudi Arabia"
"SAU",2006,24578301,0,100,"Saudi Arabia"
"SAU",2007,25252569,0,100,"Saudi Arabia"
"SAU",2008,25940770,0,100,"Saudi Arabia"
"SAU",2009,26661492,0,100,"Saudi Arabia"
"SAU",2010,27425676,0,100,"Saudi Arabia"
"SAU",2011,28238020,0,100,"Saudi Arabia"
"SAU",2012,29086357,0,100,"Saudi Arabia"
"SAU",2013,29944476,0,100,"Saudi Arabia"
"SAU",2014,30776722,0,100,"Saudi Arabia"
"SAU",2015,31557144,0,100,"Saudi Arabia"
